caldt,ewretd
20080131,-0.062252
20080229,-0.028216
20080331,-0.033398
20080430,0.021367
20080530,0.030573
20080630,-0.097052
20080731,0.013970
20080829,0.016359
20080930,-0.113784
20081031,-0.207143
20081128,-0.144133
20081231,0.023710
20090130,-0.019137
20090227,-0.105685
20090331,0.126815
20090430,0.195194
20090529,0.108213
20090630,0.049966
20090731,0.078239
20090831,0.052540
20090930,0.074900
20091030,-0.061849
20091130,0.016180
20091231,0.062342
20100129,0.000575
20100226,0.033675
20100331,0.080073
20100430,0.075748
20100528,-0.081768
20100630,-0.070946
20100730,0.052168
20100831,-0.066409
20100930,0.106679
20101029,0.049664
20101130,0.012451
20101231,0.080287
20110131,0.022820
20110228,0.036877
20110331,0.009676
20110429,0.017653
20110531,-0.022691
20110630,-0.029858
20110729,-0.021927
20110831,-0.094596
20110930,-0.104174
20111031,0.104816
20111130,-0.027052
20111230,-0.004883
20120131,0.099767
20120229,0.044044
20120330,0.034321
20120430,-0.012361
20120531,-0.067601
20120629,0.038872
20120731,-0.012347
20120831,0.023535
20120928,0.037739
20121031,-0.023644
20121130,-0.000312
20121231,0.023087
20130131,0.077080
20130228,0.012472
20130328,0.038342
20130430,0.001860
20130531,0.050585
20130628,0.003772
20130731,0.073030
20130830,-0.013597
20130930,0.064161
20131031,0.021102
20131129,0.043941
20131231,0.033523
20140131,0.012288
20140228,0.046363
20140331,-0.006296
20140430,-0.051751
20140530,-0.001890
20140630,0.049877
20140731,-0.046258
20140829,0.037370
20140930,-0.040760
20141031,0.020082
20141128,0.001792
20141231,0.011653
20150130,-0.022583
20150227,0.063413
20150331,-0.000345
20150430,0.005456
20150529,0.019264
20150630,0.001194
20150731,-0.027197
20150831,-0.049093
20150930,-0.056499
20151030,0.044339
20151130,0.030365
20151231,-0.038514
20160129,-0.098720
20160229,-0.005289
20160331,0.070880
20160429,0.034664
20160531,0.002103
20160630,-0.007734
20160729,0.061464
20160831,0.021858
20160930,0.025594
20161031,-0.054819
20161130,0.069741
20161230,0.010442
20170131,0.025124
20170228,0.022989
20170331,0.013370
20170428,-0.000159
20170531,-0.016631
20170630,0.036342
20170731,0.000945
20170831,-0.010186
20170929,0.065094
20171031,0.001938
20171130,0.026791
20171229,0.008739
20180131,0.036119
20180228,-0.036605
20180329,0.004583
20180430,0.003194
20180531,0.054781
20180629,0.004399
20180731,-0.006627
20180831,0.034943
20180928,-0.017194
20181031,-0.095241
20181130,-0.005164
20181231,-0.123106
